Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,,Afghanistan,2020-01-22,0.0,0.0
2,,Afghanistan,2020-01-23,0.0,0.0
3,,Afghanistan,2020-01-24,0.0,0.0
4,,Afghanistan,2020-01-25,0.0,0.0
5,,Afghanistan,2020-01-26,0.0,0.0
6,,Afghanistan,2020-01-27,0.0,0.0
7,,Afghanistan,2020-01-28,0.0,0.0
8,,Afghanistan,2020-01-29,0.0,0.0
9,,Afghanistan,2020-01-30,0.0,0.0
10,,Afghanistan,2020-01-31,0.0,0.0
11,,Afghanistan,2020-02-01,0.0,0.0
12,,Afghanistan,2020-02-02,0.0,0.0
13,,Afghanistan,2020-02-03,0.0,0.0
14,,Afghanistan,2020-02-04,0.0,0.0
15,,Afghanistan,2020-02-05,0.0,0.0
16,,Afghanistan,2020-02-06,0.0,0.0
17,,Afghanistan,2020-02-07,0.0,0.0
18,,Afghanistan,2020-02-08,0.0,0.0
19,,Afghanistan,2020-02-09,0.0,0.0
20,,Afghanistan,2020-02-10,0.0,0.0
21,,Afghanistan,2020-02-11,0.0,0.0
22,,Afghanistan,2020-02-12,0.0,0.0
23,,Afghanistan,2020-02-13,0.0,0.0
24,,Afghanistan,2020-02-14,0.0,0.0
25,,Afghanistan,2020-02-15,0.0,0.0
26,,Afghanistan,2020-02-16,0.0,0.0
27,,Afghanistan,2020-02-17,0.0,0.0
28,,Afghanistan,2020-02-18,0.0,0.0
29,,Afghanistan,2020-02-19,0.0,0.0
30,,Afghanistan,2020-02-20,0.0,0.0
31,,Afghanistan,2020-02-21,0.0,0.0
32,,Afghanistan,2020-02-22,0.0,0.0
33,,Afghanistan,2020-02-23,0.0,0.0
34,,Afghanistan,2020-02-24,1.0,0.0
35,,Afghanistan,2020-02-25,1.0,0.0
36,,Afghanistan,2020-02-26,1.0,0.0
37,,Afghanistan,2020-02-27,1.0,0.0
38,,Afghanistan,2020-02-28,1.0,0.0
39,,Afghanistan,2020-02-29,1.0,0.0
40,,Afghanistan,2020-03-01,1.0,0.0
41,,Afghanistan,2020-03-02,1.0,0.0
42,,Afghanistan,2020-03-03,1.0,0.0
43,,Afghanistan,2020-03-04,1.0,0.0
44,,Afghanistan,2020-03-05,1.0,0.0
45,,Afghanistan,2020-03-06,1.0,0.0
46,,Afghanistan,2020-03-07,1.0,0.0
47,,Afghanistan,2020-03-08,4.0,0.0
48,,Afghanistan,2020-03-09,4.0,0.0
49,,Afghanistan,2020-03-10,5.0,0.0
50,,Afghanistan,2020-03-11,7.0,0.0
51,,Afghanistan,2020-03-12,7.0,0.0
52,,Afghanistan,2020-03-13,7.0,0.0
53,,Afghanistan,2020-03-14,11.0,0.0
54,,Afghanistan,2020-03-15,16.0,0.0
55,,Afghanistan,2020-03-16,21.0,0.0
56,,Afghanistan,2020-03-17,22.0,0.0
57,,Afghanistan,2020-03-18,22.0,0.0
58,,Afghanistan,2020-03-19,22.0,0.0
59,,Afghanistan,2020-03-20,24.0,0.0
60,,Afghanistan,2020-03-21,24.0,0.0
61,,Afghanistan,2020-03-22,40.0,1.0
62,,Afghanistan,2020-03-23,40.0,1.0
63,,Afghanistan,2020-03-24,74.0,1.0
64,,Afghanistan,2020-03-25,84.0,2.0
65,,Afghanistan,2020-03-26,94.0,4.0
66,,Afghanistan,2020-03-27,110.0,4.0
67,,Afghanistan,2020-03-28,110.0,4.0
68,,Afghanistan,2020-03-29,120.0,4.0
69,,Afghanistan,2020-03-30,170.0,4.0
70,,Afghanistan,2020-03-31,174.0,4.0
71,,Afghanistan,2020-04-01,237.0,4.0
72,,Afghanistan,2020-04-02,273.0,6.0
73,,Afghanistan,2020-04-03,281.0,6.0
74,,Afghanistan,2020-04-04,299.0,7.0
75,,Afghanistan,2020-04-05,349.0,7.0
76,,Afghanistan,2020-04-06,367.0,11.0
77,,Afghanistan,2020-04-07,423.0,14.0
78,,Afghanistan,2020-04-08,444.0,14.0
79,,Afghanistan,2020-04-09,484.0,15.0
80,,Afghanistan,2020-04-10,521.0,15.0
81,,Afghanistan,2020-04-11,555.0,18.0
82,,Afghanistan,2020-04-12,607.0,18.0
83,,Afghanistan,2020-04-13,665.0,21.0
84,,Afghanistan,2020-04-14,714.0,23.0
85,,Afghanistan,2020-04-15,784.0,25.0
86,,Afghanistan,2020-04-16,840.0,30.0
87,,Afghanistan,2020-04-17,906.0,30.0
88,,Afghanistan,2020-04-18,933.0,30.0
89,,Afghanistan,2020-04-19,996.0,33.0
90,,Afghanistan,2020-04-20,1026.0,36.0
91,,Afghanistan,2020-04-21,1092.0,36.0
92,,Afghanistan,2020-04-22,1176.0,40.0
93,,Afghanistan,2020-04-23,1279.0,42.0
94,,Afghanistan,2020-04-24,1351.0,43.0
95,,Afghanistan,2020-04-25,1463.0,47.0
96,,Afghanistan,2020-04-26,1531.0,50.0
97,,Afghanistan,2020-04-27,1703.0,57.0
98,,Afghanistan,2020-04-28,1828.0,58.0
99,,Afghanistan,2020-04-29,1939.0,60.0
100,,Afghanistan,2020-04-30,2171.0,64.0
101,,Afghanistan,2020-05-01,2335.0,68.0
102,,Afghanistan,2020-05-02,2469.0,72.0
103,,Afghanistan,2020-05-03,2704.0,85.0
104,,Afghanistan,2020-05-04,2894.0,90.0
105,,Afghanistan,2020-05-05,3224.0,95.0
106,,Afghanistan,2020-05-06,3392.0,104.0
107,,Afghanistan,2020-05-07,3563.0,106.0
108,,Afghanistan,2020-05-08,3778.0,109.0
109,,Afghanistan,2020-05-09,4033.0,115.0
110,,Afghanistan,2020-05-10,4402.0,120.0
111,,Afghanistan,2020-05-11,4687.0,122.0
112,,Afghanistan,2020-05-12,4963.0,127.0
113,,Afghanistan,2020-05-13,5226.0,132.0
114,,Afghanistan,2020-05-14,5639.0,136.0
115,,Afghanistan,2020-05-15,6053.0,153.0
116,,Albania,2020-01-22,0.0,0.0
117,,Albania,2020-01-23,0.0,0.0
118,,Albania,2020-01-24,0.0,0.0
119,,Albania,2020-01-25,0.0,0.0
120,,Albania,2020-01-26,0.0,0.0
121,,Albania,2020-01-27,0.0,0.0
122,,Albania,2020-01-28,0.0,0.0
123,,Albania,2020-01-29,0.0,0.0
124,,Albania,2020-01-30,0.0,0.0
125,,Albania,2020-01-31,0.0,0.0
126,,Albania,2020-02-01,0.0,0.0
127,,Albania,2020-02-02,0.0,0.0
128,,Albania,2020-02-03,0.0,0.0
129,,Albania,2020-02-04,0.0,0.0
130,,Albania,2020-02-05,0.0,0.0
131,,Albania,2020-02-06,0.0,0.0
132,,Albania,2020-02-07,0.0,0.0
133,,Albania,2020-02-08,0.0,0.0
134,,Albania,2020-02-09,0.0,0.0
135,,Albania,2020-02-10,0.0,0.0
136,,Albania,2020-02-11,0.0,0.0
137,,Albania,2020-02-12,0.0,0.0
138,,Albania,2020-02-13,0.0,0.0
139,,Albania,2020-02-14,0.0,0.0
140,,Albania,2020-02-15,0.0,0.0
141,,Albania,2020-02-16,0.0,0.0
142,,Albania,2020-02-17,0.0,0.0
143,,Albania,2020-02-18,0.0,0.0
144,,Albania,2020-02-19,0.0,0.0
145,,Albania,2020-02-20,0.0,0.0
146,,Albania,2020-02-21,0.0,0.0
147,,Albania,2020-02-22,0.0,0.0
148,,Albania,2020-02-23,0.0,0.0
149,,Albania,2020-02-24,0.0,0.0
150,,Albania,2020-02-25,0.0,0.0
151,,Albania,2020-02-26,0.0,0.0
152,,Albania,2020-02-27,0.0,0.0
153,,Albania,2020-02-28,0.0,0.0
154,,Albania,2020-02-29,0.0,0.0
155,,Albania,2020-03-01,0.0,0.0
156,,Albania,2020-03-02,0.0,0.0
157,,Albania,2020-03-03,0.0,0.0
158,,Albania,2020-03-04,0.0,0.0
159,,Albania,2020-03-05,0.0,0.0
160,,Albania,2020-03-06,0.0,0.0
161,,Albania,2020-03-07,0.0,0.0
162,,Albania,2020-03-08,0.0,0.0
163,,Albania,2020-03-09,2.0,0.0
164,,Albania,2020-03-10,10.0,0.0
165,,Albania,2020-03-11,12.0,1.0
166,,Albania,2020-03-12,23.0,1.0
167,,Albania,2020-03-13,33.0,1.0
168,,Albania,2020-03-14,38.0,1.0
169,,Albania,2020-03-15,42.0,1.0
170,,Albania,2020-03-16,51.0,1.0
171,,Albania,2020-03-17,55.0,1.0
172,,Albania,2020-03-18,59.0,2.0
173,,Albania,2020-03-19,64.0,2.0
174,,Albania,2020-03-20,70.0,2.0
175,,Albania,2020-03-21,76.0,2.0
176,,Albania,2020-03-22,89.0,2.0
177,,Albania,2020-03-23,104.0,4.0
178,,Albania,2020-03-24,123.0,5.0
179,,Albania,2020-03-25,146.0,5.0
180,,Albania,2020-03-26,174.0,6.0
181,,Albania,2020-03-27,186.0,8.0
182,,Albania,2020-03-28,197.0,10.0
183,,Albania,2020-03-29,212.0,10.0
184,,Albania,2020-03-30,223.0,11.0
185,,Albania,2020-03-31,243.0,15.0
186,,Albania,2020-04-01,259.0,15.0
187,,Albania,2020-04-02,277.0,16.0
188,,Albania,2020-04-03,304.0,17.0
189,,Albania,2020-04-04,333.0,20.0
190,,Albania,2020-04-05,361.0,20.0
191,,Albania,2020-04-06,377.0,21.0
192,,Albania,2020-04-07,383.0,22.0
193,,Albania,2020-04-08,400.0,22.0
194,,Albania,2020-04-09,409.0,23.0
195,,Albania,2020-04-10,416.0,23.0
196,,Albania,2020-04-11,433.0,23.0
197,,Albania,2020-04-12,446.0,23.0
198,,Albania,2020-04-13,467.0,23.0
199,,Albania,2020-04-14,475.0,24.0
200,,Albania,2020-04-15,494.0,25.0
201,,Albania,2020-04-16,518.0,26.0
202,,Albania,2020-04-17,539.0,26.0
203,,Albania,2020-04-18,548.0,26.0
204,,Albania,2020-04-19,562.0,26.0
205,,Albania,2020-04-20,584.0,26.0
206,,Albania,2020-04-21,609.0,26.0
207,,Albania,2020-04-22,634.0,27.0
208,,Albania,2020-04-23,663.0,27.0
209,,Albania,2020-04-24,678.0,27.0
210,,Albania,2020-04-25,712.0,27.0
211,,Albania,2020-04-26,726.0,28.0
212,,Albania,2020-04-27,736.0,28.0
213,,Albania,2020-04-28,750.0,30.0
214,,Albania,2020-04-29,766.0,30.0
215,,Albania,2020-04-30,773.0,31.0
216,,Albania,2020-05-01,782.0,31.0
217,,Albania,2020-05-02,789.0,31.0
218,,Albania,2020-05-03,795.0,31.0
219,,Albania,2020-05-04,803.0,31.0
220,,Albania,2020-05-05,820.0,31.0
221,,Albania,2020-05-06,832.0,31.0
222,,Albania,2020-05-07,842.0,31.0
223,,Albania,2020-05-08,850.0,31.0
224,,Albania,2020-05-09,856.0,31.0
225,,Albania,2020-05-10,868.0,31.0
226,,Albania,2020-05-11,872.0,31.0
227,,Albania,2020-05-12,876.0,31.0
228,,Albania,2020-05-13,880.0,31.0
229,,Albania,2020-05-14,898.0,31.0
230,,Albania,2020-05-15,916.0,31.0
231,,Algeria,2020-01-22,0.0,0.0
232,,Algeria,2020-01-23,0.0,0.0
233,,Algeria,2020-01-24,0.0,0.0
234,,Algeria,2020-01-25,0.0,0.0
235,,Algeria,2020-01-26,0.0,0.0
236,,Algeria,2020-01-27,0.0,0.0
237,,Algeria,2020-01-28,0.0,0.0
238,,Algeria,2020-01-29,0.0,0.0
